Satellite,Code,jd_tdb,x_km,y_km,z_km
Phobos,401,2460920.000000,-1662.631653,-9174.606984,278.471475
Phobos,401,2460927.000000,-4118.926651,-8159.957896,1618.871733
Phobos,401,2460934.000000,-6156.791224,-6311.149187,2797.421829
Phobos,401,2460941.000000,-7558.782743,-3810.045767,3690.879202
Phobos,401,2460948.000000,-8174.628350,-913.655517,4205.420164
Phobos,401,2460955.000000,-7941.153818,2076.415328,4288.695054
Phobos,401,2460962.000000,-6889.404417,4850.268776,3935.876550
Phobos,401,2460969.000000,-5138.358313,7128.264550,3189.181431
Phobos,401,2460976.000000,-2875.639367,8692.076072,2130.242499
Phobos,401,2460983.000000,-332.797471,9402.422845,867.870848
Phobos,401,2460990.000000,2240.061002,9206.237323,-473.720760
Phobos,401,2460997.000000,4597.977885,8135.304648,-1767.118906
Phobos,401,2461004.000000,6521.448881,6297.781119,-2892.655327
Phobos,401,2461011.000000,7831.177972,3867.001916,-3746.826025
Phobos,401,2461018.000000,8400.199514,1068.904763,-4249.171154
Phobos,401,2461025.000000,8165.680891,-1834.034882,-4348.784494
Phobos,401,2461032.000000,7137.083172,-4562.948587,-4030.540439
Phobos,401,2461039.000000,5400.217861,-6845.713989,-3318.364967
Phobos,401,2461046.000000,3115.809170,-8443.730251,-2276.565268
Phobos,401,2461053.000000,508.771072,-9181.423810,-1006.274298
Phobos,401,2461060.000000,-2154.902561,-8971.749841,364.415929
Phobos,401,2461067.000000,-4597.854283,-7830.652303,1693.891327
Phobos,401,2461074.000000,-6564.876419,-5878.120311,2844.429275
Phobos,401,2461081.000000,-7855.946081,-3323.097737,3699.603515
Phobos,401,2461088.000000,-8348.793828,-434.231897,4178.062603
Phobos,401,2461095.000000,-8007.764789,2493.803295,4239.954430
Phobos,401,2461102.000000,-6881.931412,5172.789418,3888.298441
Phobos,401,2461109.000000,-5093.404711,7349.239192,3165.767962
Phobos,401,2461116.000000,-2820.427153,8824.604795,2146.907858
Phobos,401,2461123.000000,-279.958458,9466.863265,930.364817
Phobos,401,2461130.000000,2289.345509,9217.655668,-369.268534
Phobos,401,2461137.000000,4646.001789,8096.529702,-1630.060691
Phobos,401,2461144.000000,6563.829226,6200.702570,-2732.195089
Phobos,401,2461151.000000,7850.292420,3700.826984,-3567.702073
Phobos,401,2461158.000000,8366.064863,832.138771,-4050.010959
Phobos,401,2461165.000000,8043.853531,-2123.898496,-4124.908188
Phobos,401,2461172.000000,6901.445760,-4867.083838,-3778.863799
Phobos,401,2461179.000000,5045.651024,-7110.606196,-3043.609033
Phobos,401,2461186.000000,2664.929457,-8616.570504,-1994.530987
Phobos,401,2461193.000000,7.620252,-9228.640290,-742.269515
